# delta neff CL
0.303 -2.31467 1.34592e-05
0.303 -2.312 1.57367e-06
0.303 -2.30933 2.01093e-07
0.303 -2.30667 7.30151e-08
0.303 -2.304 5.31252e-09
0.303 -2.30133 3.01018e-10
0.309 -2.37867 0
0.309 -2.376 0
0.309 -2.37333 1.08019e-14
0.309 -2.37067 2.07553e-19
0.309 -2.368 9.68479e-13
0.309 -2.36533 3.1543e-09
0.309 -2.36267 3.63822e-07
0.309 -2.36 1.00449e-05
0.309 -2.35733 0.000176348
0.309 -2.35467 0.00168456
0.309 -2.352 0.0288875
0.309 -2.34933 0.0177021
0.309 -2.34667 0.46096
0.309 -2.344 0.88449
0.309 -2.34133 0.71653
0.309 -2.33867 0.958046
0.309 -2.336 0.693576
0.309 -2.33333 0.398808
0.309 -2.33067 0.114538
0.309 -2.328 0.0367032
0.309 -2.32533 0.0236011
0.309 -2.32267 0.00569937
0.309 -2.32 0.00139956
0.309 -2.31733 0.000188512
0.309 -2.31467 2.42656e-05
0.309 -2.312 3.0024e-06
0.309 -2.30933 4.1837e-07
0.309 -2.30667 2.26151e-08
0.309 -2.304 1.10041e-08
0.309 -2.30133 6.36523e-10
0.315 -2.37867 0
0.315 -2.376 0
0.315 -2.37333 0
0.315 -2.37067 1.13335e-15
0.315 -2.368 1.343e-13
0.315 -2.36533 9.23639e-10
0.315 -2.36267 3.94473e-08
0.315 -2.36 3.06657e-06
0.315 -2.35733 7.15617e-05
0.315 -2.35467 0.0010821
0.315 -2.352 0.0164586
0.315 -2.34933 0.0140744
0.315 -2.34667 0.378615
0.315 -2.344 0.777038
0.315 -2.34133 0.909952
0.315 -2.33867 0.842725
0.315 -2.336 0.656273
0.315 -2.33333 0.499534
0.315 -2.33067 0.167368
0.315 -2.328 0.0534462
0.315 -2.32533 0.0301571
0.315 -2.32267 0.00926965
0.315 -2.32 0.0027452
0.315 -2.31733 0.000301015
0.315 -2.31467 4.21637e-05
0.315 -2.312 5.62438e-06
0.315 -2.30933 8.11972e-07
0.315 -2.30667 4.74732e-08
0.315 -2.304 5.66052e-09
0.315 -2.30133 1.24772e-09
0.321 -2.37867 0
0.321 -2.376 0
0.321 -2.37333 6.30276e-21
0.321 -2.37067 1.27732e-16
0.321 -2.368 1.53187e-14
0.321 -2.36533 2.05341e-10
0.321 -2.36267 3.96391e-08
0.321 -2.36 1.65262e-06
0.321 -2.35733 3.83023e-05
0.321 -2.35467 0.000579381
0.321 -2.352 0.0106092
0.321 -2.34933 0.0676279
0.321 -2.34667 0.26299
0.321 -2.344 0.143836
0.321 -2.34133 0.578692
0.321 -2.33867 0.799846
0.321 -2.336 0.785121
